
"Physical Education, Activity and Health",https://www.otago.ac.nz/study/subjects/peah
Physics,https://www.otago.ac.nz/study/subjects/phsi
Physiology,https://www.otago.ac.nz/study/subjects/phsl
Physiotherapy,https://www.otago.ac.nz/study/subjects/phty
Planning,https://www.otago.ac.nz/study/subjects/plan
Plant Biotechnology,https://www.otago.ac.nz/study/subjects/plbi
Politics,https://www.otago.ac.nz/study/subjects/pols
Popular Music,https://www.otago.ac.nz/study/subjects/popm
Primary Health Care,https://www.otago.ac.nz/study/subjects/nphc
Primary Bicultural Education,https://www.otago.ac.nz/study/subjects/prbe
Primary Education,https://www.otago.ac.nz/study/subjects/pred
Professional Studies (Physical Education),https://www.otago.ac.nz/study/subjects/prof
Prosthodontics,https://www.otago.ac.nz/study/subjects/prsd
Psychological Medicine,https://www.otago.ac.nz/study/subjects/psme
Psychology,https://www.otago.ac.nz/study/subjects/psyc
Public Health,https://www.otago.ac.nz/study/subjects/pubh
Quantitative Genetics,https://www.otago.ac.nz/study/subjects/qgen
Quantitative Methods for Commerce,https://www.otago.ac.nz/study/subjects/quan
Radiation Therapy,https://www.otago.ac.nz/study/subjects/radt
Rehabilitation,https://www.otago.ac.nz/study/subjects/rehb
Religious Studies,https://www.otago.ac.nz/study/subjects/rels
"Reproduction, Genetics and Development",https://www.otago.ac.nz/study/subjects/regd
Research Methods (for PGCertPH),https://www.otago.ac.nz/study/qualifications/pgcertph
Restorative Dentistry,https://www.otago.ac.nz/study/qualifications/pgdipclindent
Rural Clinical Practice,https://www.otago.ac.nz/study/subjects/rcpr
Rural Nursing,https://www.otago.ac.nz/study/subjects/nuru
Science Communication,https://www.otago.ac.nz/study/subjects/sccm
Science of Religion,https://www.otago.ac.nz/study/subjects/srel
Secondary Education,https://www.otago.ac.nz/study/subjects/seed
Sleep Medicine,https://www.otago.ac.nz/study/qualifications/pgdipmedtech
Social Work,https://www.otago.ac.nz/study/subjects/sowk
Sociology,https://www.otago.ac.nz/study/subjects/soci
Software Engineering,https://www.otago.ac.nz/study/subjects/seng
Spanish,https://www.otago.ac.nz/study/subjects/span
Special Needs Dentistry,https://www.otago.ac.nz/study/subjects/spnd
Sport and Exercise Medicine,https://www.otago.ac.nz/study/subjects/spmx
Sport and Exercise Nutrition,https://www.otago.ac.nz/study/subjects/spnu
Sport Development and Management,https://www.otago.ac.nz/study/subjects/spdm
"Sport, Exercise and Health",https://www.otago.ac.nz/study/subjects/speh
Sports Business,https://www.otago.ac.nz/study/subjects/spbu
Sports Technology,https://www.otago.ac.nz/study/subjects/spte
Statistics,https://www.otago.ac.nz/study/subjects/stat
Studio Production,https://www.otago.ac.nz/study/subjects/stpr
Supplementary Nutritional Science,https://www.otago.ac.nz/study/subjects/suns
Surgical Anatomy,https://www.otago.ac.nz/study/qualifications/pgdipsurganat
Surveying,https://www.otago.ac.nz/study/subjects/surv
Sustainable Business,https://www.otago.ac.nz/study/subjects/subu
Sustainable Finance,https://www.otago.ac.nz/study/subjects/sufi
Teaching,https://www.otago.ac.nz/study/subjects/teaching
Teaching English to Speakers of Other Languages,https://www.otago.ac.nz/study/subjects/tsol
Telecommunications,https://www.otago.ac.nz/study/subjects/tele
Theatre Studies,https://www.otago.ac.nz/study/subjects/thea
Theology,https://www.otago.ac.nz/study/subjects/theo
Tourism,https://www.otago.ac.nz/study/subjects/tour
"Tourism, Languages and Cultures",https://www.otago.ac.nz/study/subjects/tlc
Toxicology,https://www.otago.ac.nz/study/subjects/toxi
Travel Medicine,https://www.otago.ac.nz/study/subjects/trav
Wildlife Management,https://www.otago.ac.nz/study/subjects/wilm
Writing,https://www.otago.ac.nz/study/subjects/writ
Zoology,https://www.otago.ac.nz/study/subjects/zool
